Files	Treatment	Cell	Replicate
RNAseq-akata-noks-methyl_cell-clone1.isoforms.results	methyl_cell	EBV.DRDZ	1
RNAseq-akata-noks-methyl_cell-clone2.isoforms.results	methyl_cell	EBV.DRDZ	2
RNAseq-akata-noks-methyl_cell-clone3.isoforms.results	methyl_cell	EBV.DRDZ	3
RNAseq-akata-noks-methyl_cell-clone4.isoforms.results	methyl_cell	EBV.DRDZ	4
RNAseq-akata-noks-methyl_cell-rep1.isoforms.results	methyl_cell	EBV	1
RNAseq-akata-noks-methyl_cell-rep2.isoforms.results	methyl_cell	EBV	2
RNAseq-akata-noks-no_treatment-clone1.isoforms.results	no_treatment	EBV.DRDZ	1
RNAseq-akata-noks-no_treatment-clone2.isoforms.results	no_treatment	EBV.DRDZ	2
RNAseq-akata-noks-no_treatment-clone3.isoforms.results	no_treatment	EBV.DRDZ	3
RNAseq-akata-noks-no_treatment-clone4.isoforms.results	no_treatment	EBV.DRDZ	4
RNAseq-akata-noks-no_treatment-rep1.isoforms.results	no_treatment	EBV	1
RNAseq-akata-noks-no_treatment-rep2.isoforms.results	no_treatment	EBV	2
RNAseq-noks-methyl_cell-rep1.isoforms.results	methyl_cell	NOKS	1
RNAseq-noks-methyl_cell-rep2.isoforms.results	methyl_cell	NOKS	2
RNAseq-noks-no_treatment-rep1.isoforms.results	no_treatment	NOKS	1
RNAseq-noks-no_treatment-rep2.isoforms.results	no_treatment	NOKS	2
