Contrast_name	Fixed_variable	Value	A_samples	B_samples
Untreated_NOKS_vs_EBV	Treatment	no_treatment	NOKS	EBV
Untreated_NOKS_vs_DRDZ	Treatment	no_treatment	NOKS	EBV.DRDZ
Untreated_EBV_vs_DRDZ	Treatment	no_treatment	EBV	EBV.DRDZ
MethylCell_NOKS_vs_EBV	Treatment	methyl_cell	NOKS	EBV
MethylCell_NOKS_vs_DRDZ	Treatment	methyl_cell	NOKS	EBV.DRDZ
MethylCell_EBV_vs_DRDZ	Treatment	methyl_cell	EBV	EBV.DRDZ
NOKS_Untreated_vs_MethylCell	Cell	NOKS	methyl_cell	no_treatment
EBV_Untreated_vs_MethylCell	Cell	EBV	methyl_cell	no_treatment
EBVdRdZ_Untreated_vs_MethylCell	Cell	EBV.DRDZ	methyl_cell	no_treatment
NOKS_vs_EBV	NA	NA	NOKS	EBV
NOKS_vs_DRDZ	NA	NA	NOKS	EBV.DRDZ
EBV_vs_DRDZ	NA	NA	EBV	EBV.DRDZ
Untreated_vs_MethylCell	NA	NA	no_treatment	methyl_cell
