file	cell	treatment	type	rep
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-hmC-rep1.sort.bam	EBV	CaFBS	hmC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-hmC-rep2.sort.bam	EBV	CaFBS	hmC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-hmC-rep3.sort.bam	EBV	CaFBS	hmC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-mC-rep1.sort.bam	EBV	CaFBS	mC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-mC-rep2.sort.bam	EBV	CaFBS	mC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-CaFBS-mC-rep3.sort.bam	EBV	CaFBS	mC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-hmC-rep1.sort.bam	EBV	NoTrt	hmC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-hmC-rep2.sort.bam	EBV	NoTrt	hmC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-hmC-rep3.sort.bam	EBV	NoTrt	hmC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-mC-rep1.sort.bam	EBV	NoTrt	mC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-mC-rep2.sort.bam	EBV	NoTrt	mC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-akata-mono-mC-rep3.sort.bam	EBV	NoTrt	mC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-hmC-rep1.sort.bam	NOK	CaFBS	hmC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-hmC-rep2.sort.bam	NOK	CaFBS	hmC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-hmC-rep3.sort.bam	NOK	CaFBS	hmC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-mC-rep1.sort.bam	NOK	CaFBS	mC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-mC-rep2.sort.bam	NOK	CaFBS	mC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-CaFBS-mC-rep3.sort.bam	NOK	CaFBS	mC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-hmC-rep1.sort.bam	NOK	NoTrt	hmC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-hmC-rep2.sort.bam	NOK	NoTrt	hmC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-hmC-rep3.sort.bam	NOK	NoTrt	hmC	Rep3
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-mC-rep1.sort.bam	NOK	NoTrt	mC	Rep1
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-mC-rep2.sort.bam	NOK	NoTrt	mC	Rep2
data/BAM/hg19/bowtie_dip/MeDIPseq-NOKS-mono-mC-rep3.sort.bam	NOK	NoTrt	mC	Rep3
