file	cell	treatment	lab	rep
data/RSEM/hg19/RNAseq-akata-noks-CaFBS-rep1.genes.results	EBV	CaFBS	Rona	Rep1
data/RSEM/hg19/RNAseq-akata-noks-CaFBS-rep2.genes.results	EBV	CaFBS	Rona	Rep2
data/RSEM/hg19/RNAseq-akata-noks-CaFBS-rep3.genes.results	EBV	CaFBS	Rona	Rep3
data/RSEM/hg19/RNAseq-akata-noks-methyl_cell-rep1.genes.results	EBV	MC	Rona	Rep1
data/RSEM/hg19/RNAseq-akata-noks-methyl_cell-rep2.genes.results	EBV	MC	Rona	Rep2
data/RSEM/hg19/RNAseq-akata-noks-methyl_cell-rep3.genes.results	EBV	MC	Rona	Rep3
data/RSEM/hg19/RNAseq-akata-noks-no_treatment-rep1.genes.results	EBV	None	Rona	Rep1
data/RSEM/hg19/RNAseq-akata-noks-no_treatment-rep2.genes.results	EBV	None	Rona	Rep2
data/RSEM/hg19/RNAseq-akata-noks-no_treatment-rep3.genes.results	EBV	None	Rona	Rep3
data/RSEM/hg19/RNAseq-akata-noks-no_treatment-rep4.genes.results	EBV	None	Rona	Rep4
data/RSEM/hg19/RNAseq-noks-CaFBS-rep1.genes.results	NOK	CaFBS	Rona	Rep1
data/RSEM/hg19/RNAseq-noks-CaFBS-rep2.genes.results	NOK	CaFBS	Rona	Rep2
data/RSEM/hg19/RNAseq-noks-CaFBS-rep3.genes.results	NOK	CaFBS	Rona	Rep3
data/RSEM/hg19/RNAseq-Noks_EBV-MC-rep1.genes.results	EBV	MC	Scott	Rep1
data/RSEM/hg19/RNAseq-Noks_EBV-MC-rep2.genes.results	EBV	MC	Scott	Rep2
data/RSEM/hg19/RNAseq-Noks_EBV-MC-rep3.genes.results	EBV	MC	Scott	Rep3
data/RSEM/hg19/RNAseq-Noks_EBV-MC-rep4.genes.results	EBV	MC	Scott	Rep4
data/RSEM/hg19/RNAseq-Noks_EBV-mono-rep1.genes.results	EBV	None	Scott	Rep1
data/RSEM/hg19/RNAseq-Noks_EBV-mono-rep2.genes.results	EBV	None	Scott	Rep2
data/RSEM/hg19/RNAseq-Noks_EBV-mono-rep3.genes.results	EBV	None	Scott	Rep3
data/RSEM/hg19/RNAseq-Noks_EBV-mono-rep4.genes.results	EBV	None	Scott	Rep4
data/RSEM/hg19/RNAseq-Noks-MC-rep1.genes.results	NOK	MC	Scott	Rep1
data/RSEM/hg19/RNAseq-Noks-MC-rep2.genes.results	NOK	MC	Scott	Rep2
data/RSEM/hg19/RNAseq-Noks-MC-rep3.genes.results	NOK	MC	Scott	Rep3
data/RSEM/hg19/RNAseq-Noks-MC-rep4.genes.results	NOK	MC	Scott	Rep4
data/RSEM/hg19/RNAseq-noks-methyl_cell-rep1.genes.results	NOK	MC	Rona	Rep1
data/RSEM/hg19/RNAseq-noks-methyl_cell-rep2.genes.results	NOK	MC	Rona	Rep2
data/RSEM/hg19/RNAseq-noks-methyl_cell-rep3.genes.results	NOK	MC	Rona	Rep3
data/RSEM/hg19/RNAseq-Noks-mono-rep1.genes.results	NOK	None	Scott	Rep1
data/RSEM/hg19/RNAseq-Noks-mono-rep2.genes.results	NOK	None	Scott	Rep2
data/RSEM/hg19/RNAseq-Noks-mono-rep3.genes.results	NOK	None	Scott	Rep3
data/RSEM/hg19/RNAseq-Noks-mono-rep4.genes.results	NOK	None	Scott	Rep4
data/RSEM/hg19/RNAseq-noks-no_treatment-rep1.genes.results	NOK	None	Rona	Rep1
data/RSEM/hg19/RNAseq-noks-no_treatment-rep2.genes.results	NOK	None	Rona	Rep2
data/RSEM/hg19/RNAseq-noks-no_treatment-rep3.genes.results	NOK	None	Rona	Rep3
data/RSEM/hg19/RNAseq-noks-no_treatment-rep4.genes.results	NOK	None	Rona	Rep4
