symbol	log2FoldChange	stat	padj	expected_count.none	TPM.none	FPKM.none	expected_count.MC	TPM.MC	FPKM.MC
TSPAN6	0.6243233194010794	3.025665763246808	0.007431945790810133	826	24.046666666666667	18.843333333333334	830	36.792500000000004	28.302500000000002
DPM1	-0.41184284526458287	-2.7872548089534286	0.014488797624551937	2834	125.72	98.46000000000001	1378	91.69	70.58250000000001
SCYL3	0.8364914476824253	6.045292405825592	1.601825572809429e-8	311	5.53	4.346666666666667	353	9.7225	7.4825
C1orf112	-1.0707322513292692	-6.5094489145866055	9.775071399559625e-10	1107	20.276666666666667	15.866666666666667	339	8.317499999999999	6.4075
FGR	2.8008271495099826	2.534393766928551	0.027870833080010135	2	0.04666666666666667	0.03666666666666667	9	0.4375	0.3375
CFH	0.5335514441444812	1.1684866081800158	0.3590412357949566	519	8.22	6.51	503	11.682500000000001	8.965
FUCA2	0.4500382528756378	2.103188634824199	0.0744182824001806	260	7.506666666666667	5.9	237	10.035	7.715
GCLC	1.80625127793576	10.828692318346205	2.0517457782792453e-25	1679	60.54666666666667	47.62	3849	206.3975	158.7125
NFYA	0.04279168157593692	0.18012528406275766	0.9060319642529484	804	13.21	10.363333333333333	537	13.59	10.467500000000001
C1orf201	-0.48388734309735587	-2.1980472681078864	0.06105928836739397	511	11.866666666666667	9.33	225	7.3075	5.63
NIPAL3	-0.6930937593877241	-2.797362029722678	0.01408864115986129	1409	20.96	16.44	555	12.65	9.735
LAS1L	-1.171816121048057	-4.529161738922502	3.334032043066087e-5	1504	28.796666666666667	22.48	435	12.205	9.407499999999999
ENPP4	2.482025574030625	1.4842819501699562	0.2287071917095405	0	0.0033333333333333335	0.0033333333333333335	2	0.03	0.0225
SEMA3F	2.7010204809966583	10.753331086022333	4.455374674748624e-25	590	13.796666666666667	10.766666666666666	2419	84.845	65.3
CFTR	2.452406869734825	2.570993096731785	0.025473995495882355	10	2.3566666666666665	1.86	35	1.5574999999999999	1.2
ANKIB1	0.02764502228414337	0.2711024716134235	0.8558134160692099	3206	73.49333333333334	57.59	2113	71.75750000000001	55.2275
CYP51A1	-0.07591830214327536	-0.30215101951716555	0.837065697780773	13329	265.68	208.83666666666667	8286	235.015	180.6325
KRIT1	0.06221915754330522	0.3198557377373662	0.8265311733068235	1042	26.556666666666665	20.756666666666668	731	28.5075	21.945
RAD52	-0.10126181216349997	-0.6436181232420405	0.6394544885378188	256	10.646666666666667	8.326666666666666	153	8.6325	6.65
BAD	-0.17392914621424102	-1.0050326085121486	0.43984746411612174	1086	62.00666666666667	48.97666666666667	606	49.59	38.1775
LAP3	-1.4455968385683782	-6.428317372102648	1.6248946254504848e-9	2248	67.11	52.04	567	23.47	18.0775
CD99	-0.355287469099974	-2.126084496138472	0.07103128349151246	1365	67.83	53.38666666666667	667	52.915	40.725
HS3ST1	-0.4010534691045499	-1.1742671465866583	0.35642540686570223	482	4.773333333333333	3.8266666666666667	230	3.5675	2.745
ABP1	2.9940899550176048	2.295370338606445	0.04923430789937462	1	0.043333333333333335	0.03333333333333333	7	0.3675	0.28
WNT16	0.5574113360557268	0.39829429655602744	0.7816217908203305	1	0.03	0.023333333333333334	1	0.07	0.0525
HECW1	-1.863609384188624	-1.5909236038256835	0.19285464196868995	7	0.5499999999999999	0.41333333333333333	1	0.195	0.15
MAD1L1	-0.6892682453523573	-5.7535648052586	8.195534937007215e-8	955	37.14333333333333	29.176666666666666	384	24.1175	18.5625
LASP1	-0.12275582664979173	-0.6590362596988121	0.6301102507065007	4707	78.73	61.78666666666667	2745	73.64	56.645
SNX11	-0.09045874730222853	-0.6148604490479823	0.6566241286135925	632	13.863333333333333	10.913333333333334	382	12.955	9.9675
M6PR	-0.14202134216200835	-0.9080547880259048	0.4901692946709322	6100	257.6433333333333	201.70666666666665	3673	229.14999999999998	176.265
KLHL13	-0.9365444224191938	-4.389120629292576	6.027196717424177e-5	311	5.86	4.6033333333333335	108	2.72	2.0925
CYP26B1	5.136790446183123	3.0569954217943547	0.006804068248860066	2	0.02666666666666667	0.02	48	1.095	0.845
