symbol	log2FoldChange	stat	padj	expected_count.none	TPM.none	FPKM.none	expected_count.MC	TPM.MC	FPKM.MC
TSPAN6	0.7443690824309783	3.6610580528658385	9.204497118814282e-4	280	14.52	10.965	336	14.205	12.11
DPM1	1.1920878216738393	3.912444972850233	3.692801309866604e-4	1158	97.665	73.745	1890	117.11500000000001	99.89500000000001
SCYL3	1.168029346809349	4.5571256011897	2.7216668167054486e-5	173	5.984999999999999	4.52	279	6.775	5.78
C1orf112	-0.26725271272669027	-1.0827866338354495	0.3867912572465288	308	8.004999999999999	6.045	181	3.645	3.11
FGR	0.3903332135572641	0.18821045427378127	0.8966869335938685	1	0.07	0.05	1	0.035	0.03
CFH	-1.6599205143999147	-2.944317469973837	0.009026084737070957	303	8	6.035	72	1.5450000000000002	1.32
FUCA2	0.0075596859632722484	0.018995322915024405	0.9899579982555033	164	11.754999999999999	8.865	122	6.380000000000001	5.445
GCLC	0.802610786537675	2.2993307900377538	0.046649262405732646	1987	152.64	115.205	2460	148.995	127.08500000000001
NFYA	-0.2729074082152531	-1.4129898776113725	0.24584908432995897	420	12.99	9.805	252	6.09	5.195
C1orf201	-0.4219883878512556	-1.6935304472226231	0.15655067977965847	335	16.595	12.530000000000001	177	7.915000000000001	6.745
NIPAL3	-1.5754491163257738	-6.579000636524627	5.806334322396951e-10	844	25.365000000000002	19.15	202	4.295	3.665
LAS1L	0.10216694778981376	0.37737738798564474	0.7846772121624472	463	16.28	12.3	356	9.66	8.24
SEMA3F	0.5259272432107448	1.786611876939102	0.13246966570756621	1049	57.295	43.25	1068	46.974999999999994	40.05
CFTR	-1.5297316913564898	-1.4201799846853644	0.24328595902639125	13	6.859999999999999	5.175000000000001	3	1.48	1.26
ANKIB1	-0.4944774546084146	-3.1138032509290285	0.0055064409186486585	1517	78.87	59.53	778	34.739999999999995	29.64
CYP51A1	0.6322717882410864	1.9808306770748316	0.09137579450610099	5311	187.845	141.83	5831	160.31	136.72
KRIT1	0.05803602577569603	0.33984127078870585	0.8079181879327262	767	38.2	28.84	565	24.22	20.665
RAD52	-0.925595610111948	-2.803674152206416	0.013287915062228643	243	23.095	17.435000000000002	91	5.225	4.46
BAD	0.5426067649670342	2.1692246061749376	0.061861331727333324	373	46.849999999999994	35.355	387	34.730000000000004	29.62
LAP3	0.328221347074536	1.144088350187102	0.3586808342438067	616	44.849999999999994	33.875	555	33.18000000000001	28.305
CD99	-0.21080342939617916	-1.084666242536439	0.38609685590607723	677	64.94	49.015	418	30.740000000000002	26.22
HS3ST1	0.06537096300223547	0.1269776932764462	0.9301869296922209	53	0.8200000000000001	0.615	43	0.87	0.745
ABP1	-1.107641615986615	-0.46854753119455417	0.7270972478530121	1	0.13	0.1	0	0.02	0.02
WNT16	-3.334218315220887	-1.7468427012814702	0.14234465832137902	7	0.28500000000000003	0.22	0	0.01	0.005
HECW1	-1.8458070345053867	-0.7438757949886238	0.5660994086402981	2	0.15	0.115	0	0.060000000000000005	0.05
MAD1L1	-0.26373000459217005	-1.0298238193839757	0.4129677288762229	316	28.86	21.795	188	13.305	11.35
LASP1	-0.5030864584385897	-2.7263338843170573	0.016380435684936835	1738	70.07	52.9	880	25.225	21.515
SNX11	1.0150682916822065	3.832173485945764	4.975346304836763e-4	134	5.98	4.51	196	6.395	5.455
TMEM176A	-0.3764340712338121	-0.33075184033977845	0.8129283865291209	7	0.6950000000000001	0.52	4	0.29000000000000004	0.245
M6PR	0.5016867239939617	2.716599429977223	0.016788896842084754	1449	122.555	92.525	1486	98.32499999999999	83.89
KLHL13	-2.733776202225194	-4.567323718442096	2.6098496045739918e-5	66	2.265	1.71	7	0.27	0.22999999999999998
CYP26B1	2.400634375234685	3.3906944945275095	0.0023053687289562915	9	0.36	0.275	33	0.71	0.605
ICA1	-0.46648978111061634	-0.9509285253608118	0.4539197523348847	43	3.55	2.68	22	1.185	1.01
DBNDD1	0.9211287001454271	0.6149051945865398	0.6423594324277754	2	0.095	0.07	3	0.11000000000000001	0.09
ALS2	0.3895625979907613	2.2551076461699733	0.05130370616074148	773	23.950000000000003	18.08	726	17.994999999999997	15.35
CASP10	1.1127483035646863	4.5911227746757035	2.3526785136798666e-5	257	8.285	6.255	405	9.165	7.819999999999999
CFLAR	-0.11884102951551986	-0.5439384264743677	0.6832771352386608	1094	52.48	39.61	722	29.84	25.46
TFPI	-0.8626064037398075	-3.629936064325173	0.001027559350997964	6685	95.75999999999999	72.29499999999999	2607	30.195	25.75
C2orf56	0.26628847125597155	1.040561658284233	0.40746536426561925	258	20.215	15.265	224	13.635	11.64
RBM5	0.2476895953420395	1.5650828699342354	0.19434019701602762	1612	97.825	73.85	1370	72.045	61.455
MTMR7	0.03343631138551647	0.10380253634113307	0.9445757184801523	86	3.15	2.375	64	1.795	1.5299999999999998
SLC7A2	-4.46398448928296	-8.0207864835687	2.233058828083512e-14	600	8.655	6.53	20	0.2	0.175
ARF5	0.8689353741985817	4.231097181995078	1.070463870750974e-4	1017	105.63499999999999	79.745	1324	103.435	88.22
SARM1	-1.6948186688386393	-2.2997384020039955	0.046623121186338407	35	0.46499999999999997	0.35	7	0.08	0.065
PLXND1	-0.3283366362333459	-0.4712548713320021	0.7253131894464468	26	2.33	1.7550000000000001	15	1.12	0.9550000000000001
AK2	0.6746650630059646	2.851991016355088	0.011668988508464418	1349	97.42	73.57000000000001	1549	84.78999999999999	72.32499999999999
CD38	-0.49701407594828256	-0.5770552659613877	0.6635912899393924	17	0.985	0.745	9	0.42500000000000004	0.365
FKBP4	1.5693786663526117	6.418255614769993	1.5835180464954652e-9	806	50.545	38.17	1691	78.195	66.67999999999999
KDM1A	0.08936064418528888	0.46257232714411484	0.7307057540599431	1910	57.905	43.72	1459	32.58	27.795
RBM6	-0.5297051464748536	-3.045111749246053	0.006742122100494215	1217	53.69	40.535	609	19.53	16.66
CAMKK1	0.7367435170047278	1.120016860051604	0.36997512848685454	40	1.06	0.8049999999999999	46	0.96	0.815
RECQL	-1.2785238267894823	-4.977465719799012	4.0203091110433494e-6	1134	39.68	29.96	334	8.22	7.01
CCDC132	1.8645021271722009	8.503208227162105	4.768531838456443e-16	378	25.295	19.1	994	46.045	39.285
HSPB6	-3.525856477433258	-1.405429683045382	0.24872329265244325	3	0.19	0.14500000000000002	0	0	0
ARHGAP33	-3.3101782120488634	-4.165724303256065	1.3923040965956217e-4	49	1.295	0.9750000000000001	3	0.075	0.07
NDUFAB1	0.9060631223261162	3.1805351161589837	0.004495905860363311	370	46.305	34.96	492	46.47	39.635
SLC22A16	-0.9197380740473784	-1.0187010808916201	0.41840030949584794	13	0.675	0.505	5	0.18	0.15
ZMYND10	-1.2583639414860626	-0.9425942163650927	0.45837444193666843	7	0.385	0.29000000000000004	2	0.15999999999999998	0.14
ABCB5	-1.244120027183163	-1.1892178264613362	0.3381137305714726	9	0.22	0.165	3	0.07500000000000001	0.065
SLC25A13	2.2736114156426623	7.23451240424048	7.484703204393677e-12	238	14.445	10.91	840	36.005	30.720000000000002
ST7	0.515540736487167	2.206395959108573	0.057063253705412036	179	13.899999999999999	10.5	183	10.54	8.99
CDC27	0.06378796310735235	0.31092932289444397	0.8244550803471479	1484	50.87	38.405	1111	28.48	24.295
SLC4A1	0.507847549209026	0.13002956529110174	0.9286052090033882	0	0	0	0	0	0
HCCS	1.473800345688497	5.769693032375621	6.897206771030741e-8	160	10.780000000000001	8.14	320	15.665	13.37
DVL2	0.3919228075385016	1.4844828414938083	0.22096861321028782	416	11.74	8.86	391	8.215	7.005
PRSS22	3.49931263490621	4.085116263497014	1.9047201605391846e-4	4	0.28500000000000003	0.22	37	1.705	1.455
UPF1	-0.5096377594268807	-1.9668067724027665	0.0938813103506719	734	11.695	8.835	366	4.375	3.735
SKAP2	-0.5623767339146515	-2.5443364134808806	0.026236876895410106	561	30.185	22.785	270	12.015	10.245000000000001
