symbol	log2FoldChange	stat	padj	expected_count.none	TPM.none	FPKM.none	expected_count.MC	TPM.MC	FPKM.MC
TSPAN6	0.6089776535217675	3.041474624382281	0.007616166948043208	428	16.055	11.875	329	17.665	14.45
DPM1	0.466851759574526	1.5288989739645744	0.21525495671255176	1326	91.355	67.97	953	82.455	67.65
SCYL3	1.1573604559518043	4.515937910596763	3.712646322875796e-5	202	5.415	4	227	7.34	6.015000000000001
C1orf112	-0.5773361613236554	-2.372845754970369	0.043194985285930146	555	11.23	8.3	188	4.74	3.88
FGR	1.4269989953560593	0.8739714813326994	0.5068545463619691	3	0.14500000000000002	0.10500000000000001	4	0.25	0.21000000000000002
CFH	-0.8094365195942647	-1.4593774989568813	0.23956514396402995	547	11.14	8.16	156	4.029999999999999	3.285
FUCA2	-0.5364199967225785	-1.1318929850434791	0.37592620223132023	52	4.2	3.075	18	1.725	1.4100000000000001
GCLC	0.4587958178503384	1.31351494010083	0.29518829362308135	2471	128.145	93.225	1529	106.77000000000001	88.18
NFYA	-0.6709343235466405	-3.4901651400772167	0.0018686808812165214	689	16.38	12.05	219	6.725	5.49
C1orf201	0.5329083735326219	2.1476919059930055	0.07075610284291341	298	7.755	5.699999999999999	216	9.425	7.705
NIPAL3	-1.0320808833446407	-4.36654193529752	7.00456540248322e-5	1106	26.189999999999998	19.15	265	9.030000000000001	7.380000000000001
LAS1L	-0.7675369944824	-2.8233626558729195	0.014046051914825834	778	20.22	14.969999999999999	233	7.52	6.16
SEMA3F	1.515697017268905	5.165188518078514	1.8327009028311366e-6	1325	48.56	35.31	1823	85.83500000000001	69.96000000000001
CFTR	-0.3228002817678373	-0.35324609290803705	0.8068639512622676	56	16.295	11.969999999999999	23	3.855	3.1149999999999998
ANKIB1	-0.2405898699086456	-1.5187569846833742	0.2186463475844162	1841	71.455	52.495000000000005	774	37.955	31.065
CYP51A1	0.5782306886665262	1.811118405269009	0.1347694877057396	5655	158.93	117.935	4191	153.35999999999999	126.68
KRIT1	-0.41181204841510166	-2.385474367474489	0.04191489757206562	997	41.06	30.32	375	19.88	16.29
RAD52	-1.107468670322737	-3.3820196288906277	0.0026644827574716606	417	22.395	16.325	91	6.035	4.925000000000001
BAD	0.36038367995779164	1.448735145524522	0.24345242736686937	558	48.015	35.370000000000005	356	39.965	32.769999999999996
LAP3	0.14872566694126493	0.5145825340843128	0.7135499484851636	597	29.980000000000004	22.19	340	22.990000000000002	18.805
CD99	-0.14730513651601598	-0.7421880859575499	0.5802618624018274	596	45.015	33.16	265	26.310000000000002	21.61
HS3ST1	-1.6321576248081127	-3.1153550717255984	0.0061121042938883895	138	2.57	1.885	21	0.29000000000000004	0.235
ABP1	1.3591078641861862	0.7352229080687689	NA	4	0.195	0.14	5	0.25	0.21
WNT16	-1.6661325908010745	-1.0003391471706178	0.4404490526924357	7	0.14	0.1	1	0.045	0.035
HECW1	-1.4779361877837536	-0.6857815109393607	NA	8	0.55	0.405	1	0.38	0.31
MAD1L1	-0.625324640430063	-2.442271345203108	0.03666814693400958	497	35.815	26.3	160	14.135	11.5
LASP1	-0.34973017145643337	-1.9124275781518916	0.1123791767534635	3177	90.685	66.49	1225	45.34	37.09
SNX11	1.1951401283604877	4.648423857432431	2.07994327169873e-5	216	7.24	5.34	247	10.165	8.32
TMEM176A	-0.33858511403597386	-0.33168125288904593	0.8194430211563907	22	1.56	1.1400000000000001	9	0.815	0.6699999999999999
M6PR	0.02387756091642453	0.12958916607565837	0.9329627751397849	2410	136.095	100.32	1221	97.68	80.1
KLHL13	-2.367427691277558	-4.561414413470299	3.059839960962825e-5	159	3.825	2.805	16	0.73	0.6000000000000001
