file	processed	aligned	failed	supressed	aligned_prop
RNAseq-akata-noks-CaFBS-rep1	46090189.0	25856212.0	19545057.0	688920.0	56.1
RNAseq-akata-noks-CaFBS-rep2	25832522.0	8947614.0	15786150.0	1098758.0	34.64
RNAseq-akata-noks-CaFBS-rep3	31548887.0	12327626.0	18283663.0	937598.0	39.07
RNAseq-akata-noks-methyl_cell-rep1	23843595.0	13854296.0	9495500.0	493799.0	58.1
RNAseq-akata-noks-methyl_cell-rep2	22964158.0	11297052.0	11224921.0	442185.0	49.19
RNAseq-akata-noks-methyl_cell-rep3	20190546.0	10793401.0	9003337.0	393808.0	53.46
RNAseq-akata-noks-no_treatment-rep1	24738646.0	7319700.0	16692994.0	725952.0	29.59
RNAseq-akata-noks-no_treatment-rep2	20133523.0	4317215.0	14318593.0	1497715.0	21.44
RNAseq-akata-noks-no_treatment-rep3	44257592.0	16636921.0	25916808.0	1703863.0	37.59
RNAseq-akata-noks-no_treatment-rep4	16453801.0	7131873.0	8710491.0	611437.0	43.34
RNAseq-noks-CaFBS-rep1	20918273.0	9866971.0	10773042.0	278260.0	47.17
RNAseq-noks-CaFBS-rep2	19145123.0	7276020.0	11656212.0	212891.0	38.0
RNAseq-noks-CaFBS-rep3	14115783.0	6488151.0	7458838.0	168794.0	45.96
RNAseq-Noks_EBV-MC-rep1	24367026.0	16254296.0	7870336.0	242394.0	66.71
RNAseq-Noks_EBV-MC-rep2	33899258.0	19398419.0	14068017.0	432822.0	57.22
RNAseq-Noks_EBV-MC-rep3	39523354.0	29660612.0	9226853.0	635889.0	75.05
RNAseq-Noks_EBV-MC-rep4	30406432.0	21686918.0	8233310.0	486204.0	71.32
RNAseq-Noks_EBV-mono-rep1	40184017.0	4574064.0	35526438.0	83515.0	11.38
RNAseq-Noks_EBV-mono-rep2	35110520.0	25602610.0	9128544.0	379366.0	72.92
RNAseq-Noks_EBV-mono-rep3	50194500.0	40804450.0	8686319.0	703731.0	81.29
RNAseq-Noks_EBV-mono-rep4	39942772.0	30605482.0	8743082.0	594208.0	76.62
RNAseq-Noks-MC-rep1	23282428.0	11707297.0	11352280.0	222851.0	50.28
RNAseq-Noks-MC-rep2	57410179.0	37925563.0	18663347.0	821269.0	66.06
RNAseq-Noks-MC-rep3	41102488.0	11524597.0	29374338.0	203553.0	28.04
RNAseq-Noks-MC-rep4	41282292.0	30574767.0	10098455.0	609070.0	74.06
RNAseq-noks-methyl_cell-rep1	25223604.0	15607189.0	9256244.0	360171.0	61.88
RNAseq-noks-methyl_cell-rep2	23752280.0	15274585.0	8123504.0	354191.0	64.31
RNAseq-noks-methyl_cell-rep3	25125404.0	13491436.0	11342313.0	291655.0	53.7
RNAseq-Noks-mono-rep1	35298403.0	21367644.0	13535523.0	395236.0	60.53
RNAseq-Noks-mono-rep2	36877444.0	28711421.0	7594190.0	571833.0	77.86
RNAseq-Noks-mono-rep3	38664441.0	28591454.0	9497438.0	575549.0	73.95
RNAseq-Noks-mono-rep4	38382096.0	29780884.0	8002145.0	599067.0	77.59
RNAseq-noks-no_treatment-rep1	15874751.0	6095284.0	9430327.0	349140.0	38.4
RNAseq-noks-no_treatment-rep2	20729192.0	7489732.0	12908019.0	331441.0	36.13
RNAseq-noks-no_treatment-rep3	39650830.0	15997008.0	23174059.0	479763.0	40.34
RNAseq-noks-no_treatment-rep4	14691745.0	4240920.0	9507712.0	943113.0	28.87
