url_pos	chrom	start	end	CF	edgeR.logFC	minlog10pval	medlog10pval	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr7:70844001-70846200	chr7	70845001	70845200	5	-1.4141007266418943	5.689930931879282	5.689930931879282	Intron (uc003tvy.4/64409, intron 2 of 10)	chr7	70772658	70772756	99	-	uc022afh.1	-72245	ENSG00000265878	MIR3914-1	microRNA 3914-1	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:256801-259000	chr11	257801	258000	2	-2.0537276509578026	5.81615710535539	5.81615710535539	Distal Intergenic	chr11	278570	285388	6819	+	uc010qvs.3	-20570	ENSG00000174885	NLRP6	NLR family, pyrin domain containing 6	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:1371401-1373600	chr11	1372401	1372600	3	-2.27269795572415	6.571339172386698	6.571339172386698	Distal Intergenic	chr11	1411129	1478279	67151	+	uc009ycv.1	-38529	ENSG00000174672	BRSK2	BR serine/threonine kinase 2	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:2310401-2312600	chr11	2311401	2311600	4	-1.2701011496933465	6.236225713948166	6.236225713948166	Distal Intergenic	chr11	2317507	2323143	5637	-	uc001lvv.2	11543	ENSG00000110665	C11orf21	chromosome 11 open reading frame 21	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:2844601-2847000	chr11	2845601	2846000	6	-1.210602904420368	7.051119057895006	6.401454830647606	Intron (uc001lwn.3/3784, intron 15 of 15)	chr11	2891263	2893336	2074	+	uc009ydq.3	-45263	ENSG00000237941	KCNQ1DN	KCNQ1 downstream neighbor (non-protein coding)	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:3678601-3680800	chr11	3679601	3679800	3	-1.3897535895443187	5.899389308235929	5.899389308235929	Intron (uc009yeb.1/417, intron 2 of 3)	chr11	3686817	3692614	5798	-	uc001lyf.3	12814	ENSG00000129749	CHRNA10	cholinergic receptor, nicotinic, alpha 10 (neuronal)	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:8729401-8731600	chr11	8730401	8730600	4	-2.0098257065759104	6.1005534913705874	6.1005534913705874	Intron (uc010rbp.2/6764, intron 9 of 16)	chr11	8721513	8732778	11266	-	uc009yfs.3	2178	ENSG00000166444	ST5	suppression of tumorigenicity 5	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:10203401-10205600	chr11	10204401	10204600	10	-2.261679697045735	6.318808821675974	6.318808821675974	Intron (uc001mib.2/81846, intron 38 of 39)	chr11	9859604	10215534	355931	-	uc001mif.3	10934	ENSG00000133812	SBF2	SET binding factor 2	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:12176601-12178800	chr11	12177601	12177800	2	-1.231203701861374	5.891302600044849	5.891302600044849	Intron (uc010rch.1/9645, intron 2 of 22)	chr11	12183626	12285331	101706	+	uc001mkb.3	-5826	ENSG00000133816	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:15585601-15587800	chr11	15586601	15586800	1	-1.7169249648781693	5.7263418258728676	5.7263418258728676	Distal Intergenic	chr11	15170648	15268756	98109	+	uc001mma.4	415953	ENSG00000188487	INSC	inscuteable homolog (Drosophila)	0	1	0	0	0	0	0	0	1
