url	chrom	start	end	CF	edgeR.logFC	minlog10pval	medlog10pval	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr16:3497801-3500800	chr16	3498801	3499800	20	-3.410127202860116	14.690144123358289	12.597895830266577	Intron (uc002cvh.4/79903, intron 2 of 7)	chr16	3493682	3533597	39916	F	uc010uxb.1	5119	ENSG00000122390	NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr21:24480601-24483200	chr21	24481601	24482200	11	-2.89485100668285	12.87605465499519	12.362155397373762	Distal Intergenic	chr21	24733426	24757156	23731	R	uc021whw.1	274956	ENSG00000228592	D21S2088E	D21S2088E	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr10:131336601-131339200	chr10	131337601	131338200	15	-3.1030211605281495	14.662773494874873	11.67773133636053	Intron (uc001lkh.2/4255, intron 2 of 4)	chr10	131265454	131565783	300330	F	uc001lkh.2	72147	ENSG00000170430	MGMT	O-6-methylguanine-DNA methyltransferase	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr13:57781601-57784000	chr13	57782601	57783000	12	-3.137190044539606	12.853552143911868	11.394587348670413	Distal Intergenic	chr13	57741331	57744352	3022	F	uc010thh.1	41270	ENSG00000234278	PRR20E	proline rich 20E	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chrX:101222001-101224600	chrX	101223001	101223600	17	-5.243343914486648	12.347785129587194	11.026863524939376	Distal Intergenic	chrX	101137260	101187039	49780	R	uc004ein.3	-35962	ENSG00000166432	ZMAT1	zinc finger, matrin-type 1	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr8:16762201-16764600	chr8	16763201	16763600	13	-3.0094454223982745	10.872837538923926	10.738623628211368	Distal Intergenic	chr8	16850334	16859674	9341	R	uc003wxc.1	96074	ENSG00000078579	FGF20	fibroblast growth factor 20	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr11:98504001-98506400	chr11	98505001	98505400	12	-2.716249840375212	11.33937960023292	10.573912666179266	Distal Intergenic	chr11	98891706	100096179	1204474	F	uc009ywv.2	-386306	ENSG00000149972	CNTN5	contactin 5	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr16:3245601-3248200	chr16	3246601	3247200	12	-2.6993363462655418	13.588568999150196	10.567830231736403	Distal Intergenic	chr16	3254247	3255185	939	F	uc010uwu.2	-7047	ENSG00000168124	OR1F1	olfactory receptor, family 1, subfamily F, member 1	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr8:13881601-13884000	chr8	13882601	13883000	15	-2.913288130103509	11.843491357230684	10.504306510775404	Distal Intergenic	chr8	13424352	13425797	1446	F	uc003wwp.3	458249	ENSG00000164743	C8orf48	chromosome 8 open reading frame 48	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr8:13981601-13984200	chr8	13982601	13983200	13	-3.325332222789575	13.055831798511166	10.499597877359472	Intron (uc010lss.3/137868, intron 3 of 5)	chr8	13947373	14412435	465063	R	uc010lss.3	429235	ENSG00000185053	SGCZ	sarcoglycan, zeta	1	0	0	0	0	0	1	0	0
