name	seqnames	start	end	width
CpG:_116	chr1	28736	29810	1075
CpG:_30	chr1	135125	135563	439
CpG:_29	chr1	327791	328229	439
CpG:_84	chr1	437152	438164	1013
CpG:_99	chr1	449274	450544	1271
CpG:_94	chr1	533220	534114	895
CpG:_171	chr1	544739	546649	1911
CpG:_60	chr1	713985	714547	563
CpG:_115	chr1	762417	763445	1029
CpG:_28	chr1	788864	789211	348
CpG:_24	chr1	801976	802338	363
CpG:_50	chr1	805199	805628	430
CpG:_83	chr1	839695	840619	925
CpG:_153	chr1	844300	845883	1584
CpG:_16	chr1	854766	854973	208
CpG:_257	chr1	858971	861632	2662
CpG:_178	chr1	869333	871872	2540
CpG:_246	chr1	875731	878363	2633
CpG:_18	chr1	886357	886602	246
CpG:_615	chr1	894314	902654	8341
CpG:_23	chr1	906297	906538	242
CpG:_28	chr1	912870	913153	284
CpG:_15	chr1	919727	919927	201
CpG:_413	chr1	933388	937410	4023
CpG:_19	chr1	948671	948894	224
CpG:_35	chr1	949330	949851	522
CpG:_148	chr1	954769	956343	1575
CpG:_54	chr1	963796	964507	712
CpG:_185	chr1	967967	970238	2272
CpG:_351	chr1	975497	980305	4809
CpG:_26	chr1	981069	981400	332
CpG:_26	chr1	982153	982511	359
CpG:_32	chr1	983175	983612	438
CpG:_19	chr1	984207	984429	223
CpG:_29	chr1	990275	990694	420
CpG:_98	chr1	994437	995303	867
CpG:_20	chr1	999679	999911	233
CpG:_213	chr1	1002664	1005318	2655
CpG:_122	chr1	1011510	1013402	1893
CpG:_41	chr1	1016864	1017439	576
CpG:_30	chr1	1018100	1018390	291
CpG:_15	chr1	1019819	1020026	208
CpG:_19	chr1	1023144	1023347	204
CpG:_44	chr1	1024076	1024614	539
CpG:_20	chr1	1026378	1026625	248
CpG:_18	chr1	1027510	1027730	221
CpG:_25	chr1	1046045	1046340	296
CpG:_31	chr1	1050516	1050830	315
CpG:_151	chr1	1051179	1052445	1267
CpG:_52	chr1	1072370	1072847	478
CpG:_25	chr1	1093212	1093476	265
CpG:_183	chr1	1098044	1100584	2541
CpG:_59	chr1	1109315	1110145	831
CpG:_32	chr1	1115575	1116006	432
CpG:_40	chr1	1132828	1133218	391
CpG:_105	chr1	1136361	1137156	796
CpG:_55	chr1	1141671	1142150	480
CpG:_25	chr1	1145569	1145878	310
CpG:_16	chr1	1146709	1146914	206
CpG:_38	chr1	1149056	1149524	469
CpG:_71	chr1	1152523	1153134	612
CpG:_44	chr1	1153785	1154419	635
CpG:_27	chr1	1159169	1159528	360
CpG:_24	chr1	1161960	1162281	322
CpG:_34	chr1	1163503	1163895	393
CpG:_240	chr1	1167002	1168985	1984
CpG:_27	chr1	1173916	1174263	348
CpG:_26	chr1	1177886	1178207	322
CpG:_81	chr1	1181757	1182470	714
CpG:_68	chr1	1189397	1190245	849
CpG:_25	chr1	1190523	1190799	277
CpG:_31	chr1	1203167	1203597	431
CpG:_155	chr1	1208516	1209942	1427
CpG:_130	chr1	1228781	1230163	1383
CpG:_281	chr1	1242401	1245185	2785
CpG:_41	chr1	1247919	1248493	575
CpG:_18	chr1	1254323	1254548	226
CpG:_114	chr1	1259644	1260635	992
CpG:_66	chr1	1262666	1263420	755
CpG:_20	chr1	1265207	1265429	223
CpG:_16	chr1	1267086	1267286	201
CpG:_116	chr1	1267436	1268986	1551
CpG:_51	chr1	1271426	1272074	649
CpG:_20	chr1	1272378	1272634	257
CpG:_160	chr1	1283934	1285345	1412
CpG:_152	chr1	1289708	1291126	1419
CpG:_167	chr1	1309141	1311039	1899
CpG:_25	chr1	1322645	1322924	280
CpG:_154	chr1	1334072	1335602	1531
CpG:_98	chr1	1342005	1342952	948
CpG:_108	chr1	1355160	1356000	841
CpG:_20	chr1	1361561	1361787	227
CpG:_50	chr1	1362955	1363299	345
CpG:_83	chr1	1370768	1371449	682
CpG:_122	chr1	1374462	1375584	1123
CpG:_27	chr1	1389556	1389889	334
CpG:_19	chr1	1396086	1396338	253
CpG:_119	chr1	1406845	1407821	977
CpG:_40	chr1	1414035	1414532	498
CpG:_42	chr1	1417286	1417753	468
CpG:_34	chr1	1420227	1420684	458
CpG:_19	chr1	1444589	1444849	261
CpG:_151	chr1	1446879	1448205	1327
CpG:_40	chr1	1452702	1453199	498
CpG:_48	chr1	1455303	1455892	590
CpG:_18	chr1	1456830	1457074	245
CpG:_77	chr1	1457955	1459029	1075
CpG:_23	chr1	1464509	1464806	298
CpG:_73	chr1	1470605	1471450	846
CpG:_21	chr1	1473108	1473342	235
CpG:_32	chr1	1474963	1475220	258
CpG:_55	chr1	1476094	1476669	576
CpG:_25	chr1	1489533	1489794	262
CpG:_16	chr1	1496762	1496986	225
CpG:_159	chr1	1509483	1510747	1265
CpG:_160	chr1	1534332	1536136	1805
CpG:_180	chr1	1550454	1552015	1562
CpG:_73	chr1	1558588	1559359	772
CpG:_27	chr1	1560781	1561055	275
CpG:_30	chr1	1562050	1562398	349
CpG:_33	chr1	1563675	1564032	358
CpG:_470	chr1	1564422	1570006	5585
CpG:_31	chr1	1571033	1571470	438
CpG:_25	chr1	1580378	1580595	218
CpG:_83	chr1	1590074	1590942	869
CpG:_21	chr1	1600982	1601231	250
CpG:_21	chr1	1602392	1602686	295
CpG:_27	chr1	1607899	1608243	345
CpG:_149	chr1	1623611	1625067	1457
CpG:_173	chr1	1631087	1633226	2140
CpG:_31	chr1	1634253	1634690	438
CpG:_25	chr1	1643594	1643811	218
CpG:_84	chr1	1655396	1656231	836
CpG:_27	chr1	1670757	1671101	345
CpG:_146	chr1	1676886	1678333	1448
CpG:_48	chr1	1685374	1685971	598
CpG:_22	chr1	1691768	1692063	296
CpG:_126	chr1	1709395	1710582	1188
CpG:_45	chr1	1713640	1714141	502
CpG:_187	chr1	1821406	1823272	1867
CpG:_78	chr1	1839959	1840601	643
CpG:_120	chr1	1850099	1851391	1293
CpG:_22	chr1	1859247	1859523	277
CpG:_25	chr1	1874716	1875015	300
CpG:_23	chr1	1875618	1875877	260
CpG:_46	chr1	1886345	1886870	526
CpG:_18	chr1	1896415	1896628	214
CpG:_17	chr1	1897582	1897786	205
CpG:_271	chr1	1910269	1913800	3532
CpG:_32	chr1	1935167	1935452	286
CpG:_117	chr1	1950412	1951479	1068
