url_pos	chrom	start	end	CF	edgeR.logFC	minlog10pval	medlog10pval	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	genic	Intergenic	Promoter	fiveUTR	threeUTR	Exon	Intron	downstream	distal_intergenic
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1199001-1201800	chr1	1200001	1200800	19	2.2121320488269864	11.348045175549823	4.635774267347889	Exon (uc001ado.3/118424, exon 3 of 8)	chr1	1189292	1203372	14081	-	uc001adm.4	2572	ENSG00000160087	UBE2J2	ubiquitin-conjugating enzyme E2, J2	1	0	0	0	0	1	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1206801-1209000	chr1	1207801	1208000	7	2.8904201393158955	3.8698279509801585	3.8698279509801585	Intron (uc001ado.3/118424, intron 7 of 7)	chr1	1189292	1209234	19943	-	uc001ado.3	1234	ENSG00000160087	UBE2J2	ubiquitin-conjugating enzyme E2, J2	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1216601-1218800	chr1	1217601	1217800	4	2.965107541445943	3.8397263339397476	3.8397263339397476	Promoter	chr1	1217537	1227409	9873	+	uc001adx.2	64	ENSG00000162572	SCNN1D	sodium channel, non voltage gated 1 delta subunit	1	0	1	1	0	1	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1241401-1243600	chr1	1242401	1242600	13	2.27824132304138	4.091288575375575	4.091288575375575	Intron (uc001aeb.2/116983, intron 23 of 23)	chr1	1227764	1243269	15506	-	uc001aeb.2	669	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1336401-1338600	chr1	1337401	1337600	3	2.358369108350777	4.672659150376958	4.672659150376958	3' UTR	chr1	1334912	1337426	2515	+	uc009vkd.3	2489	ENSG00000224870	LOC148413	uncharacterized LOC148413	1	0	0	0	1	1	0	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:1689401-1691600	chr1	1690401	1690600	9	2.4981278918597303	3.746682166951696	3.746682166951696	Promoter	chr1	1682671	1690081	7411	-	uc010nyv.2	-320	ENSG00000008130	NADK	NAD kinase	1	0	1	0	0	1	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2120801-2123200	chr1	2121801	2122200	17	2.288568427803464	5.265730202838641	4.463271624696814	Exon (uc001aiz.2/uc001aiz.2, exon 1 of 1)	chr1	2115899	2126214	10316	-	uc001aiv.2	4014	ENSG00000162585	FAAP20	Fanconi anemia core complex associated protein 20	1	0	0	0	0	1	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2143401-2145600	chr1	2144401	2144600	11	2.609086662186841	4.4649881891506675	4.4649881891506675	Distal Intergenic	chr1	2115899	2139172	23274	-	uc001aix.2	-5229	ENSG00000162585	FAAP20	Fanconi anemia core complex associated protein 20	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2164601-2166800	chr1	2165601	2165800	4	3.0431463640492056	7.539421234318961	7.539421234318961	Intron (uc001aja.4/6497, intron 1 of 6)	chr1	2160134	2241652	81519	+	uc001aja.4	5467	ENSG00000157933	SKI	SKI proto-oncogene	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2436801-2439000	chr1	2437801	2438000	8	2.278422528169362	3.9085915071120483	3.9085915071120483	Downstream (<1kb)	chr1	2430183	2436964	6782	+	uc001ajl.1	7618	ENSG00000149527	PLCH2	phospholipase C, eta 2	0	1	0	0	0	0	0	1	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2501401-2503600	chr1	2502401	2502600	3	1.7878011412046702	3.6223063735792698	3.6223063735792698	Distal Intergenic	chr1	2486163	2488450	2288	-	uc021oev.1	-13951	NA	NA	NA	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:2622401-2624600	chr1	2623401	2623600	5	2.979006531797357	3.6317705020372153	3.6317705020372153	Intron (uc021oey.1/100287898, intron 3 of 6)	chr1	2522081	2564481	42401	-	uc001ajy.2	-58920	ENSG00000142606	MMEL1	membrane metallo-endopeptidase-like 1	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3102601-3105000	chr1	3103601	3104000	11	2.441271758004632	5.01592636452285	4.673880656452753	Intron (uc001akc.3/63976, intron 2 of 16)	chr1	3044539	3044599	61	+	uc021oez.1	59062	NA	MIR4251	microRNA 4251	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3388401-3390600	chr1	3389401	3389600	6	1.7898608338701911	3.40633161404331	3.40633161404331	Intron (uc001akg.4/27237, intron 6 of 14)	chr1	3388171	3391021	2851	+	uc009vli.1	1230	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3442801-3445000	chr1	3443801	3444000	3	3.9395321471095284	6.188692870158642	6.188692870158642	Intron (uc001akk.3/1953, intron 29 of 29)	chr1	3404506	3448012	43507	-	uc001akk.3	4012	ENSG00000162591	MEGF6	multiple EGF-like-domains 6	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3458801-3461200	chr1	3459801	3460200	23	2.413762219974184	3.4805692270751756	3.4493445613400726	Intron (uc001akl.3/1953, intron 33 of 36)	chr1	3404506	3448012	43507	-	uc001akk.3	-11789	ENSG00000162591	MEGF6	multiple EGF-like-domains 6	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3607001-3609400	chr1	3608001	3608400	10	1.833928779933384	4.028788502347458	3.684283188247993	Intron (uc001akp.3/7161, intron 3 of 13)	chr1	3607236	3646315	39080	+	uc010nzj.2	765	ENSG00000078900	TP73	tumor protein p73	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:3613601-3616000	chr1	3614601	3615000	7	1.8899515539593859	4.103944259197019	3.6923718092974838	Promoter	chr1	3614610	3625098	10489	+	uc009vll.3	0	ENSG00000078900	TP73	tumor protein p73	1	0	1	1	0	1	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:4004801-4007000	chr1	4005801	4006000	6	1.997077618585216	3.7974062838418234	3.7974062838418234	Intron (uc001ali.2/728716, intron 2 of 2)	chr1	4000672	4012643	11972	+	uc001ali.2	5129	NA	LINC01346	long intergenic non-protein coding RNA 1346	1	0	0	0	0	0	1	0	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:4013201-4015400	chr1	4014201	4014400	2	2.5861316285700635	4.274099245075999	4.274099245075999	Downstream (1-2kb)	chr1	4000672	4012643	11972	+	uc001ali.2	13529	NA	LINC01346	long intergenic non-protein coding RNA 1346	0	1	0	0	0	0	0	1	0
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:4019001-4021200	chr1	4020001	4020200	1	3.2790593427846653	3.5694361464955398	3.5694361464955398	Distal Intergenic	chr1	4000672	4012643	11972	+	uc001ali.2	19329	NA	LINC01346	long intergenic non-protein coding RNA 1346	0	1	0	0	0	0	0	0	1
http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=welch16&hgS_otherUserSessionName=MC_tracks&position=chr1:4400401-4403000	chr1	4401401	4402000	15	3.2676835130778006	4.495977551482579	3.804200090986991	Distal Intergenic	chr1	4472111	4484744	12634	+	uc001alj.2	-70111	ENSG00000235054	LOC284661	uncharacterized LOC284661	0	1	0	0	0	0	0	0	1
